Dump of [0x7ffe855331c0] list:
free is 13
head is [10], tail is [8]
number is 0, data is [0], next is [10], prev is [8]
number is 1, data is [88], next is [12], prev is [10]
number is 2, data is [77], next is [9], prev is [5]
number is 3, data is [66], next is [4], prev is [9]
number is 4, data is [55], next is [6], prev is [3]
number is 5, data is [5], next is [2], prev is [11]
number is 6, data is [22], next is [7], prev is [4]
number is 7, data is [33], next is [8], prev is [6]
number is 8, data is [11], next is [0], prev is [7]
number is 9, data is [10], next is [3], prev is [2]
number is 10, data is [199], next is [1], prev is [0]
number is 11, data is [20], next is [5], prev is [12]
number is 12, data is [30], next is [11], prev is [1]
number is 13, data is [-1], next is [-14], prev is [-1]
number is 14, data is [-1], next is [-15], prev is [-1]
number is 15, data is [-1], next is [0], prev is [-1]
